"도, 시/구역/군 별",2008,2008,2008,2008,2008,2008,2008,2008,2008
"도, 시/구역/군 별",모든지역,모든지역,모든지역,도시,도시,도시,농촌,농촌,농촌
"도, 시/구역/군 별",계,남자,녀자,계,남자,녀자,계,남자,녀자
"봉천군",79740,37795,41945,18273,8639,9634,61467,29156,32311
"부령군",48958,23241,25717,38118,18086,20032,10840,5155,5685
"부윤구역*",20258,9797,10461,15313,7436,7877,4945,2361,2584
"부전군",48351,22709,25642,27440,12804,14636,20911,9905,11006
"북창군",139498,66412,73086,111223,52901,58322,28275,13511,14764
"북청군",161886,75487,86399,60803,28466,32337,101083,47021,54062
"사동구역",140869,66600,74269,101285,47904,53381,39584,18696,20888
"사리원시",307764,147135,160629,271434,130181,141253,36330,16954,19376
"사포구역*",115317,55336,59981,115317,55336,59981,-,-,-
"삭주군",159707,75791,83916,119101,56411,62690,40606,19380,21226
"삼석구역",62790,29695,33095,31755,15068,16687,31035,14627,16408
"삼수군",40311,18925,21386,15577,7309,8268,24734,11616,13118
"삼지연군",31471,14738,16733,25558,11942,13616,5913,2796,3117
"삼천군",86042,40596,45446,26734,12482,14252,59308,28114,31194
"상원군",92831,43021,49810,35941,16764,19177,56890,26257,30633
"서성구역",147138,70556,76582,147138,70556,76582,-,-,-
"서흥군",100887,47616,53271,29383,13810,15573,71504,33806,37698
"선교구역",148209,68976,79233,148209,68976,79233,-,-,-
"선천군",126350,59741,66609,31847,14920,16927,94503,44821,49682
"성간군",92952,43738,49214,72116,33966,38150,20836,9772,11064
"성천강구역*",127102,60023,67079,127102,60023,67079,-,-,-
"성천군",149809,71246,78563,82938,39431,43507,66871,31815,35056
"세포군",61113,28697,32416,15949,7465,8484,45164,21232,23932
"송림시",128831,60634,68197,95878,45035,50843,32953,15599,17354
"송원군",38051,17999,20052,10818,5037,5781,27233,12962,14271
"송평구역*",146973,70030,76943,125174,59713,65461,21799,10317,11482
"송화군",44274,20917,23357,13936,6623,7313,30338,14294,16044
"수남구역*",82765,38752,44013,82765,38752,44013,-,-,-
"수동구",95716,44662,51054,64859,30287,34572,30857,14375,16482
"수안군",76890,36709,40181,22615,10734,11881,54275,25975,28300
"숙천군",178509,84552,93957,41377,19466,21911,137132,65086,72046
"순안구역",91791,43143,48648,44229,20810,23419,47562,22333,25229
"순천시",297317,141806,155511,250738,119727,131011,46579,22079,24500
"승호구역",85624,40044,45580,59291,27744,31547,26333,12300,14033
"시중군",41842,19840,22002,11257,5229,6028,30585,14611,15974
"신계군",78573,37153,41420,24183,11294,12889,54390,25859,28531
"신도군",11810,5489,6321,8713,4087,4626,3097,1402,1695
"신암구역*",64924,30616,34308,64924,30616,34308,-,-,-
"신양군",59115,28112,31003,28120,13410,14710,30995,14702,16293
"신원군",83161,38970,44191,26321,12261,14060,56840,26709,30131
"신의주시",359341,170004,189337,334031,158139,175892,25310,11865,13445
"신천군",141407,66406,75001,33702,15733,17969,107705,50673,57032
"신평군",63727,30234,33493,32519,15252,17267,31208,14982,16226
"신포시",152759,73454,79305,130951,63207,67744,21808,10247,11561
"신흥군",104002,49194,54808,50071,23611,26460,53931,25583,28348
"안변군",93960,43663,50297,27030,12633,14397,66930,31030,35900
"안악군",125924,58870,67054,28314,13288,15026,97610,45582,52028
"안주시",240117,113526,126591,167646,79187,88459,72471,34339,38132
"양덕군",61355,29037,32318,19212,9056,10156,42143,19981,22162
"어랑군",87757,41572,46185,35202,16673,18529,52555,24899,27656
"연사군",37876,17948,19928,18332,8631,9701,19544,9317,10227
"연산군",66568,31543,35025,32976,15597,17379,33592,15946,17646
"연안군",158845,75005,83840,28097,13039,15058,130748,61966,68782
"연탄군",73032,34796,38236,21709,10313,11396,51323,24483,26840
"염주군",113620,53665,59955,44561,21078,23483,69059,32587,36472
"영광군",103532,48471,55061,27075,12632,14443,76457,35839,40618
"온성군",127893,60905,66988,91868,43752,48116,36025,17153,18872
"온천군",149851,71236,78615,83934,39882,44052,65917,31354,34563
"옹진군",152878,71997,80881,66263,30991,35272,86615,41006,45609
"요덕군",40839,19148,21691,12301,5823,6478,28538,13325,15213
"우시군",42919,20176,22743,17138,8095,9043,25781,12081,13700
"운산군",102928,48907,54021,36482,17291,19191,66446,31616,34830
"운전군",101130,47566,53564,25912,12217,13695,75218,35349,39869
"운흥군",61705,28946,32759,44713,20921,23792,16992,8025,8967
"원산시",363127,172014,191113,328467,155903,172564,34660,16111,18549
"위원군",60245,28637,31608,19297,9070,10227,40948,19567,21381
"은률군",107997,50759,57238,33947,15813,18134,74050,34946,39104
"은산군",206407,98067,108340,142695,67964,74731,63712,30103,33609
